Parameter/Result,BM,BM + No SS,No risk,No risk + No SS,Exog. LS,Exog. LS + No SS
theta,0.11,0,0.11,0,0.11,0
z_h,3,3,0.5,0.5,3,3
gamma,0.42,0.42,0.42,0.42,1,1
K,3.3589,4.6035,1.0453,1.2878,7.3598,10.4539
L,0.3432,0.3652,0.16,0.1682,0.7543,0.7543
w,1.4548,1.5936,1.2578,1.3317,1.4533,1.649
r,0.0236,0.011,0.0483,0.0379,0.0238,0.0069
b,0.2251,0,0.0908,0,0.4942,0
welfare,-35.768,-37.382,-45.066,-45.157,-23.003,-25.758
cv(wealth),1.5298,1.3983,0.6627,0.7603,1.5101,1.3243
iterations,11,6,11,12,9,3
time,550 sec,307 sec,461 sec,526 sec,387 sec,127 sec
lambda,0.99,0.99,0.3,0.3,0.99,0.99
tolerance,1.00E-03,1.00E-03,1.00E-02,1.00E-02,1.00E-03,1.00E-03
"Initial K, L","(3.3, 0.3)","(3.3, 0.3)","(1.0, 0.1)","(1.0,0.1)","(3.0, 0.3)","(3.0, 0.3)"